[DEBUG] - [2016/06/23 15:25:20.753]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:25.754]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:25.754]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082877826 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:25.754]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:25.754]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:25.754]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:30.754]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:30.754]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082882826 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:30.754]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:30.754]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:30.754]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:35.754]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:35.754]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082887827 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:35.754]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:35.754]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:35.754]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:40.754]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:40.754]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082892827 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:40.754]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:40.754]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:40.754]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:45.755]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:45.755]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082897825 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:45.755]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:45.755]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:45.786]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:50.755]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:50.755]【NOTE】>>>>>> 收到客户端的数据：Hi，我是iOS客户端，我的时间戳 2082902823 | (EchoSeverHandler^messageReceived:57)
[DEBUG] - [2016/06/23 15:25:50.755]Event MESSAGE_RECEIVED has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:50.755]Firing a MESSAGE_SENT event for session 2 | (IoFilterEvent^fire:68)
[DEBUG] - [2016/06/23 15:25:50.755]Event MESSAGE_SENT has been fired for session 2 | (IoFilterEvent^fire:117)
[DEBUG] - [2016/06/23 15:25:55.755]Firing a MESSAGE_RECEIVED event for session 2 | (IoFilterEvent^fire:68)
